# name                      redshift ra          dec          m1450 spherex_data
  P000-63new                5.13.    0.42132    -63.33307    20.68 113
  #W2246-0526                4.601.   341.53154167 -5.44305556 25    106
  #OGLEJ005907-645016.       4.98     14.7808317  -64.8378623  19.51 128         
  SDSSJ120055.61+181733.0   4.998    180.2317325 18.2925018   19.45 110         
  J110134.35+053133.8.      5.0      165.3931662 5.5260737    19.41 109         
  J115424.73+134145.7.      5.005    178.60306   13.6960522   19.96 126         
  J110942.97-285521.0.      5.01     167.4287483 -28.9223015  19.79 130         
  J115419.91+233357.2.      5.011    178.5829945 23.5659085   19.98 142         
  RACSJ2303-23              5.03     345.783262  -23.400271   19.51 103         
  WISEAJ232952.75-200038.7  5.03     352.4699195 -20.0108867  18.37 104         
  J120441.73-002149.6       5.036    181.1738758 -0.3637604   19.23 137         
  J220106.63+030207.7       5.06     330.2776286 3.0354651    18.87 110         
  J220226.77+150952.3       5.07     330.6115417 15.16455     18.56 112         
  J114826.16+302019.3       5.13     177.1090254 30.3386968   19.65 114         
  J122237.96+195842.9       5.13     185.6581819 19.9785908   19.96 111         
  J122807.00+011216.6       5.13     187.0291856 1.2046237    19.99 112         
  J121101.75+161119.2       5.14     182.7573092 16.1886846   19.71 116         
  J120952.73+183147.2       5.148    182.4697093 18.5297809   19.37 108         
  J113246.50+120901.6       5.168    173.193768  12.150472    19.25 155         
  RACSJ2252-51              5.18     343.029401  -51.037899   19.42 128         
  J112637.96+173458.5       5.216    171.658206  17.5829312   19.71 119         
  J222514.38+033012.5       5.24     336.3099167 3.5034723    19.73 110         
  J120207.78+323538.7       5.263    180.5324218 32.59411     18.93 153         
  PSO184.54662+18.13070     5.3      184.5466253 18.1307056   19.89 136         
  PSO188.38947+06.37616     5.302    188.3894733 6.376165     19.59 111         
  PSO176.77670-01.16616     5.31     176.7767083 -1.1661667   19.13 107         
  PSO329.64407-07.96593     5.45     329.6440729 -7.965934418 19.85 103         
  PSO174.39736-10.82626     5.5      174.3973646 -10.82626047 19.87 109         
  PSO198.66837+54.54367     5.52     198.6683776 54.54367206  19.35 137         
  PSO331.79217-04.28230     5.5297   331.792177  -4.2823      18.91 137         
  PSO189.02522+46.95698     5.55     189.025227  46.95698222  19.33 164         
  PSO173.28660+16.06549     5.6253   173.2866033 16.06549752  19.17 115         
  PSO178.37330+28.50753     5.68     178.3733096 28.50753037  19.84 149         
  PSO183.29919-12.76762     5.86     183.29919   -12.767624   19.22 111         
  PSO342.50837-50.26171     6.0      342.50837   -50.26171    19.89 116         
  PSO174.32387+35.83247     6.007    174.32387   35.832472    19.4  115         
  PSO158.69378-14.42107     6.0685   158.6937888 -14.4210793  19.39 147         
  PSO332.80163-32.10359     6.3394   332.80163   -32.103597   18.78 104         
  PSO183.11242+05.09263     6.4386   183.1124208 5.09263611   19.82 111         
  PSO335.61728-15.68079     6.511    335.61728   -15.68079    19.85 106         
  PSO323.13828+12.29868     6.5872   323.1382865 12.29868221  19.78 114         
